REEF_SITE,TRANSECT_NO,YEAR,MONTH,SURVEY_DATE,GROWTH_FORM,BLEACH_STATUS,ABUNDANCE
HK,2,2014,OCT,5/10/14,Massive,PB,19
HK,2,2014,OCT,5/10/14,Massive,H,24
HK,2,2014,OCT,5/10/14,Branching,FB,0
HK,2,2014,OCT,5/10/14,Branching,PB,7
HK,2,2014,OCT,5/10/14,Branching,H,10
HK,2,2014,OCT,5/10/14,Plate,FB,0
HK,2,2014,OCT,5/10/14,Plate,PB,1
HK,2,2014,OCT,5/10/14,Plate,H,3
HK,2,2014,OCT,5/10/14,Solitary,FB,0
HK,2,2014,OCT,5/10/14,Solitary,PB,1
HK,2,2014,OCT,5/10/14,Solitary,H,1
HK,3,2014,OCT,5/10/14,Massive,FB,1
HK,3,2014,OCT,5/10/14,Massive,PB,21
HK,3,2014,OCT,5/10/14,Massive,H,23
HK,3,2014,OCT,5/10/14,Branching,FB,0
HK,3,2014,OCT,5/10/14,Branching,PB,5
HK,3,2014,OCT,5/10/14,Branching,H,7
HK,3,2014,OCT,5/10/14,Plate,FB,0
HK,3,2014,OCT,5/10/14,Plate,PB,0
HK,3,2014,OCT,5/10/14,Plate,H,3
HK,3,2014,OCT,5/10/14,Solitary,FB,0
HK,3,2014,OCT,5/10/14,Solitary,PB,0
HK,3,2014,OCT,5/10/14,Solitary,H,3
HS,1,2014,OCT,6/10/14,Massive,FB,2
